site_id,site_slug,site_name,device_id,device_name,role_name,role_slug,model,model_slug,manufacturer,status,url
306,recife-xd,Recife - XD,378595,BRXDPECCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/378595/
233,reynosa,Reynosa,689544,MXSCRXACAM001-1,Access Cameras,access-cameras,ICX8200-48P,icx8200-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/689544/
233,reynosa,Reynosa,689543,MXSCRXCCAM001-1,Core Cameras,core-cameras,ICX8200-48P,icx8200-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/689543/
251,rio-verde,Rio Verde,9994,BRSCRVACAM001-1,Access Cameras,access-cameras,ICX7150-C08-POE,icx7150-c08-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9994/
251,rio-verde,Rio Verde,9712,BRSCRVCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9712/
251,rio-verde,Rio Verde,9710,BRSCRVCRP001-1,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9710/
251,rio-verde,Rio Verde,9711,BRSCRVCRP001-2,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9711/
251,rio-verde,Rio Verde,698042,FEK3810V20D,Access Cameras,access-cameras,ICX7150-C12P,icx7150-c12p,Ruckus,Offline,http://netbox.adminml.com/dcim/devices/698042/
164,rj-barra-jacarepagu,RJ Barra Jacarepagua,17133,BRSCJAACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/17133/
164,rj-barra-jacarepagu,RJ Barra Jacarepagua,34153,BRSCJAACAM002-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34153/
164,rj-barra-jacarepagu,RJ Barra Jacarepagua,714150,BRSCJAACAM002-2,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/714150/
164,rj-barra-jacarepagu,RJ Barra Jacarepagua,699934,BRSCJAACAM003-1,Access Cameras,access-cameras,ICX8200-48PF-POE,icx8200-48pf-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/699934/
164,rj-barra-jacarepagu,RJ Barra Jacarepagua,668145,BRSCJAACAM004-1,Access Cameras,access-cameras,ICX8200-24P-POE,icx8200-24p-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668145/
164,rj-barra-jacarepagu,RJ Barra Jacarepagua,19427,BRSCJACCAM001-1,Core Cameras,core-cameras,ICX7150-48P,icx7150-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/19427/
415,salina-cruz,Salina Cruz,34343,MXSCCXCCAM01-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34343/
185,saltillo,Saltillo,146778,MXSCLWCCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/146778/
524,salvador-ii,Salvador II,724810,BRSCSVACAM002-1,Access Cameras,access-cameras,ICX7150-24P,icx7150-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/724810/
267,san-fernando,San Fernando,9783,CLSCSFCCAM001-1,Core Cameras,core-cameras,ICX7150-24P-4X10G,icx7150-24p-4x10g,Ruckus,Planejado,http://netbox.adminml.com/dcim/devices/9783/
103,san-luis-potosi,San Luis Potosi,32040,MXSCSLACAM001-1,Access Cameras,access-cameras,ICX7450-48P,icx7450-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/32040/
103,san-luis-potosi,San Luis Potosi,29772,MXSCSLCCAM001-1,Core Cameras,core-cameras,ICX7450-48P,icx7450-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/29772/
258,san-pedro,San Pedro,7966,CLXDSPACAM001-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/7966/
258,san-pedro,San Pedro,7783,CLXDSPCCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/7783/
447,smx7-santa-fe,Santa Fe mx,35338,MXSCSFCCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/35338/
161,santa-maria,Santa Maria,11681,BRSCSNCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/11681/
411,santiago-sur,Santiago Sur,34149,CLSCSSACAM001-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34149/
411,santiago-sur,Santiago Sur,29188,CLSCSSACAM002-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Planejado,http://netbox.adminml.com/dcim/devices/29188/
411,santiago-sur,Santiago Sur,34148,CLSCSSCCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34148/
2,santo-amaro,Santo Amaro,9518,BRSCSAACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9518/
2,santo-amaro,Santo Amaro,9517,BRSCSACCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9517/
78,sao-bernardo-do-campo,Sao Bernardo do Campo,2452,BRXDSBACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2452/
78,sao-bernardo-do-campo,Sao Bernardo do Campo,2455,BRXDSBACAM002-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2455/
78,sao-bernardo-do-campo,Sao Bernardo do Campo,2451,BRXDSBCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/2451/
162,sao-carlos,São Carlos,71347,BRSCSCACAM001-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/71347/
162,sao-carlos,São Carlos,10377,BRSCSCACP001-1,Access Switch,access-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/10377/
63,sao-jose-dos-campos,Sao Jose dos Campos,9910,BRSCSJACAM001-1,Access Cameras,access-cameras,ICX7150-48-POE,icx7150-48-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9910/
63,sao-jose-dos-campos,Sao Jose dos Campos,8360,BRSCSJACAM002-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/8360/
63,sao-jose-dos-campos,Sao Jose dos Campos,9909,BRSCSJCCAM001-1,Core Cameras,core-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9909/
676,sao-luis,Sao Luis,668137,BRSCSLACAM001-1,Access Cameras,access-cameras,ICX8200-24P,icx8200-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668137/
676,sao-luis,Sao Luis,668136,BRSCSLACAM002-1,Access Cameras,access-cameras,ICX8200-24P-POE,icx8200-24p-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668136/
676,sao-luis,Sao Luis,668140,BRSCSLCCAM001-1,Core Cameras,core-cameras,ICX8200-24P-POE,icx8200-24p-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668140/
131,sao-vicente,Sao Vicente,27195,BRSCSTACAM001-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/27195/
131,sao-vicente,Sao Vicente,278325,BRSCSTACAM002-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/278325/
131,sao-vicente,Sao Vicente,467612,BRSCSTACAM003-1,Access Cameras,access-cameras,ICX7150-48Z-HPOE,icx7150-48z-hpoe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/467612/
131,sao-vicente,Sao Vicente,467613,BRSCSTACAM004-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/467613/
131,sao-vicente,Sao Vicente,668153,BRSCSTACAM005-1,Access Cameras,access-cameras,ICX8200-24P,icx8200-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668153/
131,sao-vicente,Sao Vicente,378555,BRSCSTACP002-1,Access Switch,access-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/378555/
131,sao-vicente,Sao Vicente,668148,BRSCSTACP003-1,Access Switch,access-switch,ICX8200-24P,icx8200-24p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/668148/
131,sao-vicente,Sao Vicente,476306,BRSCSTCCAM001-1,Core Cameras,core-cameras,ICX7150-48Z-HPOE,icx7150-48z-hpoe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/476306/
131,sao-vicente,Sao Vicente,495817,BRSCSTCCAM001-2,Core Cameras,core-cameras,ICX7150-48ZP,icx7150-48zp,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/495817/
379,sapucaia-do-sul,Sapucaia do Sul,34650,BRXDSSACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34650/
379,sapucaia-do-sul,Sapucaia do Sul,34651,BRXDSSACP001-1,Access Switch,access-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34651/
379,sapucaia-do-sul,Sapucaia do Sul,19396,BRXDSSCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/19396/
123,sc-florianopolis,SC Florianopolis,6306,BRSCFLACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/6306/
123,sc-florianopolis,SC Florianopolis,6305,BRSCFLCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/6305/
223,sc-ibague,SC Ibague,632909,COSCIBCCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/632909/
223,sc-ibague,SC Ibague,632910,COSCIBCCAM001-2,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/632910/
724,scv2-cuernavaca,scv2-cuernavaca,724298,MXSCCRACAM001-1,Access Cameras,access-cameras,ICX8200-48P,icx8200-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/724298/
724,scv2-cuernavaca,scv2-cuernavaca,724299,MXSCCRACAM002-1,Access Cameras,access-cameras,ICX8200-48P,icx8200-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/724299/
724,scv2-cuernavaca,scv2-cuernavaca,724294,MXSCCRCCAM001-1,Core Cameras,core-cameras,ICX8200-48P,icx8200-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/724294/
724,scv2-cuernavaca,scv2-cuernavaca,724295,MXSCCRCCAM001-2,Core Cameras,core-cameras,ICX8200-48P,icx8200-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/724295/
499,guadalajara-sgd3,SGD3 Guadalajara,226587,MXSCJLACAM001-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/226587/
499,guadalajara-sgd3,SGD3 Guadalajara,203860,MXSCJLCCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/203860/
60,simoes-filho,Simoes Filho,8178,BRSCPSACAM001-1,Access Cameras,access-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/8178/
60,simoes-filho,Simoes Filho,8018,BRSCPSCCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/8018/
220,sinop,Sinop,34565,BRSCSIACAM001-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34565/
220,sinop,Sinop,34545,BRSCSICCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34545/
495,smx9-viaducto,SMX9-VIADUCTO,251008,MXSCVIACAM001-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/251008/
495,smx9-viaducto,SMX9-VIADUCTO,251007,MXSCVICCAM001-1,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/251007/
495,smx9-viaducto,SMX9-VIADUCTO,265203,MXSCVICCAM001-2,Core Cameras,core-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/265203/
